node_type_id ei cell_line model_template model_type dynamics_params layer model_name
100 i i4Sst nest:glif_lif_asc_psc point_neuron 501282204_glif_lif_asc_config.json VisL4 Sst_501282204
101 i i4Pvalb nest:glif_lif_asc_psc point_neuron 478958894_glif_lif_asc_config.json VisL4 Pvalb_478958894
102 i i4Htr3a nest:glif_lif_asc_psc point_neuron 474626527_glif_lif_asc_config.json VisL4 Htr3a_474626527
103 e e4Scnn1a nest:glif_lif_asc_psc point_neuron 517982558_glif_lif_asc_config.json VisL4 Scnn1a_517982558
